facebook,2020-10-01,2
facebook,2020-10-02,2
facebook,2020-10-03,0
facebook,2020-10-04,3
facebook,2020-10-05,0
facebook,2020-10-06,0
facebook,2020-10-07,2
facebook,2020-10-08,3
facebook,2020-10-09,2
facebook,2020-10-10,1
facebook,2020-10-11,2
facebook,2020-10-12,2
facebook,2020-10-13,2
facebook,2020-10-14,2
facebook,2020-10-15,3
facebook,2020-10-16,1
facebook,2020-10-17,8
facebook,2020-10-18,2
facebook,2020-10-19,4
facebook,2020-10-20,2
facebook,2020-10-21,2
facebook,2020-10-22,2
facebook,2020-10-23,5
facebook,2020-10-24,2
facebook,2020-10-25,2
facebook,2020-10-26,2
facebook,2020-10-27,6
facebook,2020-10-28,3
facebook,2020-10-29,0
facebook,2020-10-30,5
facebook,2020-10-31,3
facebook,2020-11-01,1
facebook,2020-11-02,1
facebook,2020-11-03,1
facebook,2020-11-04,0
facebook,2020-11-05,0
facebook,2020-11-06,0
facebook,2020-11-07,1
facebook,2020-11-08,0
facebook,2020-11-09,5
facebook,2020-11-10,4
facebook,2020-11-11,0
facebook,2020-11-12,5
facebook,2020-11-13,0
facebook,2020-11-14,0
facebook,2020-11-15,1
facebook,2020-11-16,2
facebook,2020-11-17,0
facebook,2020-11-18,18
facebook,2020-11-19,1
facebook,2020-11-20,2
facebook,2020-11-21,6
facebook,2020-11-22,1
facebook,2020-11-23,2
facebook,2020-11-24,2
facebook,2020-11-25,2
facebook,2020-11-26,1
facebook,2020-11-27,0
facebook,2020-11-28,2
facebook,2020-11-29,2
facebook,2020-11-30,3
facebook,2020-12-01,1
facebook,2020-12-02,9
facebook,2020-12-03,4
facebook,2020-12-04,1
facebook,2020-12-05,3
facebook,2020-12-06,4
facebook,2020-12-07,1
facebook,2020-12-08,5
facebook,2020-12-09,1
facebook,2020-12-10,1
facebook,2020-12-11,9
facebook,2020-12-12,3
facebook,2020-12-13,0
facebook,2020-12-14,1
facebook,2020-12-15,4
facebook,2020-12-16,3
facebook,2020-12-17,0
facebook,2020-12-18,2
facebook,2020-12-19,0
facebook,2020-12-20,0
facebook,2020-12-21,5
facebook,2020-12-22,0
facebook,2020-12-23,0
facebook,2020-12-24,1
facebook,2020-12-25,2
facebook,2020-12-26,0
facebook,2020-12-27,1
facebook,2020-12-28,1
facebook,2020-12-29,6
facebook,2020-12-30,2
facebook,2020-12-31,2
facebook,2021-01-01,2
facebook,2021-01-02,3
facebook,2021-01-03,1
facebook,2021-01-04,0
facebook,2021-01-05,3
facebook,2021-01-06,0
facebook,2021-01-07,2
facebook,2021-01-08,0
facebook,2021-01-09,1
facebook,2021-01-10,1
facebook,2021-01-11,1
facebook,2021-01-12,2
facebook,2021-01-13,1
facebook,2021-01-14,4
facebook,2021-01-15,5
facebook,2021-01-16,0
facebook,2021-01-17,3
facebook,2021-01-18,1
facebook,2021-01-19,3
facebook,2021-01-20,2
facebook,2021-01-21,1
facebook,2021-01-22,3
facebook,2021-01-23,3
facebook,2021-01-24,2
facebook,2021-01-25,2
facebook,2021-01-26,1
facebook,2021-01-27,1
facebook,2021-01-28,1
facebook,2021-01-29,1
facebook,2021-01-30,2
facebook,2021-01-31,2
facebook,2021-02-01,1
facebook,2021-02-02,1
facebook,2021-02-03,9
facebook,2021-02-04,1
facebook,2021-02-05,0
facebook,2021-02-06,0
facebook,2021-02-07,0
facebook,2021-02-08,0
facebook,2021-02-09,2
facebook,2021-02-10,2
facebook,2021-02-11,1
facebook,2021-02-12,1
facebook,2021-02-13,1
facebook,2021-02-14,1
facebook,2021-02-15,3
facebook,2021-02-16,3
facebook,2021-02-17,1
facebook,2021-02-18,2
facebook,2021-02-19,2
facebook,2021-02-20,2
facebook,2021-02-21,0
facebook,2021-02-22,2
facebook,2021-02-23,3
facebook,2021-02-24,2
facebook,2021-02-25,4
facebook,2021-02-26,2
facebook,2021-02-27,2
facebook,2021-02-28,2
facebook,2021-03-01,4
facebook,2021-03-02,1
facebook,2021-03-03,4
facebook,2021-03-04,5
facebook,2021-03-05,5
facebook,2021-03-06,2
facebook,2021-03-07,2
facebook,2021-03-08,0
facebook,2021-03-09,2
facebook,2021-03-10,2
facebook,2021-03-11,1
facebook,2021-03-12,2
facebook,2021-03-13,1
facebook,2021-03-14,1
facebook,2021-03-15,2
facebook,2021-03-16,6
facebook,2021-03-17,4
facebook,2021-03-18,1
facebook,2021-03-19,2
facebook,2021-03-20,7
facebook,2021-03-21,2
facebook,2021-03-22,2
facebook,2021-03-23,2
facebook,2021-03-24,3
facebook,2021-03-25,9
facebook,2021-03-26,2
facebook,2021-03-27,1
facebook,2021-03-28,0
facebook,2021-03-29,0
facebook,2021-03-30,2
facebook,2021-03-31,5
facebook,2021-04-01,0
facebook,2021-04-02,4
facebook,2021-04-03,0
facebook,2021-04-04,5
facebook,2021-04-05,1
facebook,2021-04-06,6
facebook,2021-04-07,3
facebook,2021-04-08,1
facebook,2021-04-09,1
facebook,2021-04-10,2
facebook,2021-04-11,2
facebook,2021-04-12,2
facebook,2021-04-13,4
facebook,2021-04-14,2
facebook,2021-04-15,5
facebook,2021-04-16,0
facebook,2021-04-17,0
facebook,2021-04-18,3
facebook,2021-04-19,1
facebook,2021-04-20,2
facebook,2021-04-21,1
facebook,2021-04-22,2
facebook,2021-04-23,1
facebook,2021-04-24,2
facebook,2021-04-25,1
facebook,2021-04-26,3
facebook,2021-04-27,2
facebook,2021-04-28,0
facebook,2021-04-29,2
facebook,2021-04-30,8
facebook,2021-05-01,0
facebook,2021-05-02,3
facebook,2021-05-03,0
facebook,2021-05-04,1
facebook,2021-05-05,1
facebook,2021-05-06,4
facebook,2021-05-07,1
facebook,2021-05-08,0
facebook,2021-05-09,5
facebook,2021-05-10,0
facebook,2021-05-11,2
facebook,2021-05-12,2
facebook,2021-05-13,0
facebook,2021-05-14,1
facebook,2021-05-15,2
facebook,2021-05-16,0
facebook,2021-05-17,0
facebook,2021-05-18,0
facebook,2021-05-19,2
facebook,2021-05-20,0
facebook,2021-05-21,4
facebook,2021-05-22,2
facebook,2021-05-23,4
facebook,2021-05-24,3
facebook,2021-05-25,3
facebook,2021-05-26,2
facebook,2021-05-27,2
facebook,2021-05-28,0
facebook,2021-05-29,0
facebook,2021-05-30,3
facebook,2021-05-31,0
facebook,2021-06-01,4
facebook,2021-06-02,0
facebook,2021-06-03,3
facebook,2021-06-04,4
facebook,2021-06-05,2
facebook,2021-06-06,1
facebook,2021-06-07,1
facebook,2021-06-08,1
facebook,2021-06-09,3
facebook,2021-06-10,2
facebook,2021-06-11,4
facebook,2021-06-12,1
facebook,2021-06-13,0
facebook,2021-06-14,2
facebook,2021-06-15,5
facebook,2021-06-16,1
facebook,2021-06-17,3
facebook,2021-06-18,1
facebook,2021-06-19,1
facebook,2021-06-20,0
facebook,2021-06-21,0
facebook,2021-06-22,2
facebook,2021-06-23,2
