1296269,583231
243950408,19531547
74293321,23617963
10270250,69631
24195339,139426
11730342,6128107
70107786,14985020
71995937,23360933
311525798,6154722
6498492,698437
304344049,23617963
95797174,18489846
46769790,14262490
17814354,19475707
224663696,59030169
27835638,9808864
952189,4732
1801829,1253363
3214406,789528
5245894,4751469
757363,3863375
1540246,3267164
26181549,9556861
3228363,11798761
79527893,53092080
42283287,105127
31492490,7392261
13142126,12729373
2522940,768298
3415511,1698118
2965621,2273169
16674241,6424649
4068818,36068
1590408,2942220
23278776,6906898
22845841,329887
31057802,884810
2609642,5321853
44556469,1528477
50251053,1067689
30161665,14214240
289815239,38025074
40772809,13810373
50146229,11614725
83434501,39779957
13129587,393515
257674029,30957047
13872231,1342004
372046384,38025074
9309093,5796209
1604375,561995
17703927,1748143
2788082,13458
349241,4732
3955647,2565403
2037608,74646
32247847,6407041
3605299,5165264
36007101,12543381
5548784,5274
13815852,1211266
32215970,17475736
26316966,12686838
186519945,50573515
21413198,46405934
4292299,13516
3068532,1291187
3231063,38258
13723800,225407
1424470,4129662
35219,740
10118353,170299
24841635,14921202
128907699,17680888
47118129,4129662
11295981,1178890
3678731,2105791
35640229,12554859
1276752,575509
99598595,32607881
113912360,105127
72198897,23119087
172741073,44914786
20929025,6154722
25880891,69631
153920477,10776615
167612716,150330
82304022,22938266
1451352,8770005
84009,4624349
259691,70142
15062869,69631
17814479,13072
7504744,3217446
7639232,139426
6853358,12631
34262857,4243232
26820798,8527916
31629751,8908513
2931111,1515293
45942274,60945302
125863507,1500684
747698,6570253
3008757,887802
4878628,192891
54569744,1078719
28575598,444054
800115,59798411
2805975,150063
10930707,81942
17454260,170270
14375002,170270
3056094,435893
9532162,225560
9175790,96283
3790005,32397
215375784,56607568
743723,131967
14003349,131524
570427,132242
23198683,11525
3586487,110953
14515469,723678
17052858,540215
268027,21918
32531480,11557446
3771441,395192
4260360,434140
246773,990
246426110,173661
714074,3406112
149968135,14985235
108154882,4180800
3702897,853928
4780572,1888826
9795883,926355
16927692,6709482
5857265,841625
30363340,16574
12711522,12648958
23088740,32372333
15886008,2441123
11765708,1333608
17662996,1964
7643902,633843
91917857,13217785
103435985,3428394
212546794,36886676
263215860,30008020
123606765,34556970
218115303,14985020
207645083,5580297
12093057,1965901
1221789,39355
8258045,1373264
3126402,11193
12081804,897308
11628199,3283992
6586659,492573
1706871,42218
904419,42218
18611173,655026
2762270,74385
18638428,546817
5905330,2386673
7306539,444054
16466596,173322
5855456,600097
11133743,1136800
2561582,439365
7814311,1163252
1786438,9285252
2674131,175836
20064235,897308
21748166,1682551
23736449,961898
238514517,176620
223338365,56242468
46077896,46815358
211405607,2547860
17375436,223467
33361723,221273
599695,383
24560307,9637642
9060347,1342004
10163660,381179
23509696,723678
16977232,3456749
